번호,충전소명,구분,공급방식,주소,충전소 전화번호,용도,비고
1,현대자동차㈜ 환경기술연구소,저장식,튜브트레일러,경기 용인 기흥 마북로240번길 17-5(마북동),031-899-3022,연구용,
2,한국가스공사 H2/HCNG복합충전소,제조식,개질(NG),인천 연수구 인천신항대로 960,032-810-0388,연구용,휴지
3,현대자동차㈜ 남양연구소,저장식,튜브트레일러,경기 화성 현대연구소로 150,,연구용,
4,한국교통안전공단 자동차안전연구원,저장식,튜브트레일러,경기 화성 송산면 삼존로 200,031-369-1173,연구용,미가동
5,서울특별시 양재그린카스테이션,저장식,튜브트레일러,서울 서초구 바우뫼로12길 73,02-2058-1351,상업용,
6,서울특별시 상암수소스테이션,제조식,개질(NG+매립가스),서울 마포구 하늘공원로 86,02-3151-0336,상업용,
7,한국에너지기술연구원,제조식,수전해,전북 부안군 하서면 신재생에너지로 20-41,063-580-1670,연구용,휴지
8,(재)광주그린카진흥원 수소융합스테이션,저장식,튜브트레일러,광주 광산구 진곡산단중앙로 55,062-960-9580,상업용,
9,충남테크노파크 내포신도시수소충전소,저장식,튜브트레일러,충남 홍성군 홍북면 용봉로 234,041-635-1248,상업용,
10,(재)창원산업진흥원 팔룡수소충전소,저장식,튜브트레일러,경남 창원 의창구 창원대로18번길 46,055-299-7716,상업용,
11,(주)옥동엘피지수소 수소복합충전소,저장식,튜브트레일러,울산 남구 남부순환도로 465,052-265-5540,상업용,
12,(재)지능형자동차부품진흥원,저장식,튜브트레일러,대구 달성군 국가산단서로 201,053-670-7826,연구용,
13,동곡융복합수소충전소　,저장식,튜브트레일러,광주 광산구 동곡로 326(복룡동),062-941-9534,상업용,
14,경동 수소충전소,저장식,튜브트레일러,울산 북구 북부순환도로 1165,052-288-0610,상업용,
15,㈜신일 복합충전소,저장식,튜브트레일러,울산 울주군 웅촌면 웅촌로 490,052-225-1500,상업용,
16,창원성주 수소충전소,저장식,튜브트레일러,경남 창원 성산구 성주동 175,055-286-7715,상업용,
17,(주)엔케이텍 서부산,저장식,튜브트레일러,부산 강서구 송정동 803-3번지외1필지,051-711-0580,상업용,
18,한국도로공사 안성(부산)휴게소,저장식,튜브트레일러,경기 안성 경부고속도로 365,031-651-5385,상업용,
19,대보유통㈜ 안성(서울)주유소,저장식,튜브트레일러,경기 안성 경부고속도로 372,031-664-4096,상업용,
20,그린주유소 수소복합충전소,저장식,튜브트레일러,울산 울주군 온산읍 온산로 256,052-239-9600,상업용,
21,(주)고신통상 영동고속도로 여주(강릉)휴게소,저장식,튜브트레일러,경기 여주 여주남로 722(영동고속도로),031-881-6132,상업용,
22,대전도시공사 학하수소충전소,저장식,튜브트레일러,대전 유성구 학하동 388-3외 10필지,042-716-7363,상업용,
23,현대모비스㈜ 수소충전소,저장식,튜브트레일러,충북 충주시 대소원면 기업도시1로 47,043-720-9000,연구용,
24,센트럴 수소충전소,저장식,튜브트레일러,경남 창원시 성산구 중앙대로21번길 15,055-275-1565,상업용(현재 실증용),
25,한국도로공사 백양사(논산)휴게소 수소충전소,저장식,튜브트레일러,전남 장성군 북일면 호남고속도로 108-1,061-393-0257,상업용,
26,언양(서울) 수소충전소,저장식,튜브트레일러,울산 울주군 언양읍 경부고속도로 44,052-263-6146,상업용,
27,성주(양평) 수소충전소,저장식,튜브트레일러,경북 성주군 초전면 중부내륙고속도로 98,054-933-0820,상업용,
28,범한퓨얼셀㈜,제조식,개질(NG),경남 창원시 마산회원구 자유무역4길 61,055-251-6070,연구용,휴지
29,㈜이엠석유 함안(부산)휴게소 수소충전소,저장식,튜브트레일러,경남 함안군 군북면 현포로 205,055-583-9341,상업용,
30,대도하이젠(주) 수소복합충전소,저장식,튜브트레일러,부산 사상구 학감대로 167,051-317-2777,상업용,
31,수소에너지네트워크(주) 국회 수소충전소,저장식,튜브트레일러,서울 영등포구 의사당대로 1,070-8882-7742,상업용,
32,중부고속도로 하남드림휴게소 수소충전소,저장식,튜브트레일러,하남시 중부고속도로 117-1 하남드림휴게소,031-793-5800,상업용,
33,당진H2 STATION,저장식,튜브트레일러,충남 당진시 송산면 동곡리 358,041-358-7571,상업용(현재 실증용),
34,논현충전소(복합수소자동차충전소),저장식,튜브트레일러,인천 남동구 고잔동 246-15 외 2필지, 032-446-9094,상업용,
35,창원덕동 수소충전소,저장식,튜브트레일러,경남 창원시 마산합포구 덕동동 838,055-244-7716,상업용,
36,(재)전북테크노파크 완주수소충전소,저장식,튜브트레일러,전북 완주군 봉동읍 둔산리 951-6,063-262-0083,상업용,
37,지에스칼텍스㈜ 강동수소충전소,저장식,튜브트레일러,서울 강동구 상일동 443-9,02-426-5372,상업용,
38,임암 수소충전소,저장식,튜브트레일러,광주 남구 임암동 675,062-960-9579,상업용,
39,(합자)도원주유소 수소충전소,저장식,튜브트레일러,충북 청주시 청원구 내수읍 충청대로 771,043-214-7788,상업용,
40,청주 수소충전소,저장식,튜브트레일러,충북 청주시 청원구 오창읍 양청농소길 102,043-211-6604,상업용,
41,연수 수소충전소,저장식,튜브트레일러,충북 충주시 연수동 315-6,043-856-8338,상업용,
42,수소에너지네트워크(주) 성서 수소충전소,저장식,튜브트레일러,대구 달서구 갈산동 980,053-606-1188,상업용,
43,원더플(주) 복합수소충전소,저장식,튜브트레일러,강원도 삼척시 오분동 122-3 외5필지,033-575-5189,상업용,
44,하이넷 에스피지 수소충전소,저장식,배관공급,전남 여수시 여수산단로 603,061-692-0858,상업용,
45,하이넷 세종청사 수소충전소,저장식,튜브트레일러,세종 어진동 567,044-905-5100,상업용,
